,Type_of_change,Image_path,True_label,Prediction,Scores,Confidence
0,test_change,data/test/drawing/LCE-1901-07-31-a-i0023.jpg,0,0,15.676132,0.71363956
1,test_change,data/test/drawing/GDL-1956-06-30-a-i0255_6.jpg,0,0,15.607311,0.97485197
2,test_change,data/test/drawing/LCE-1908-08-12-a-i0050.jpg,0,2,14.39298,0.9457894
3,test_change,data/test/drawing/IMP-1910-05-01-a-i0094_10.jpg,0,0,12.131357,0.7564449
4,test_change,data/test/drawing/EXP-1986-07-04-a-i0361.jpg,0,4,11.651878,0.76407623
5,test_change,data/test/drawing/IMP-1949-09-30-a-i0010.jpg,0,4,10.05769,0.7469319
6,test_change,data/test/drawing/LCE-1915-12-25-a-i0042.jpg,0,0,12.07918,0.45580995
7,test_change,data/test/drawing/EXP-1972-12-02-a-i0308.jpg,0,3,10.249735,0.8017729
8,test_change,data/test/drawing/JDG-1904-10-21-a-i0066.jpg,0,0,12.692579,0.5352331
9,test_change,data/test/drawing/EXP-1957-12-06-a-i0008.jpg,0,0,12.813356,0.9414152
10,test_change,data/test/drawing/JDG-1978-10-23-a-i0020.jpg,0,0,11.679228,0.95465165
11,test_change,data/test/drawing/IMP-1946-02-01-a-i0084.jpg,0,0,11.553714,0.840793
12,test_change,data/test/drawing/JDG-1958-02-15-a-i0052_2.jpg,0,0,9.681739,0.8855258
13,test_change,data/test/drawing/IMP-1955-01-31-a-i0053.jpg,0,4,12.214294,0.8830118
14,test_change,data/test/drawing/IMP-1992-02-10-a-i0160.jpg,0,4,10.655926,0.89810395
15,test_change,data/test/drawing/GDL-1951-10-24-a-i0014.jpg,0,3,15.596885,0.9570056
16,test_change,data/test/drawing/EXP-1914-02-11-a-i0087.jpg,0,0,12.129296,0.6995367
17,test_change,data/test/drawing/IMP-1980-02-04-a-i0078_3.jpg,0,7,16.373117,0.999311
18,test_change,data/test/drawing/IMP-1930-02-27-a-i0033.jpg,0,0,13.690424,0.71585
19,test_change,data/test/drawing/IMP-1913-11-22-a-i0062.jpg,0,7,11.093704,0.9424111
20,test_change,data/test/drawing/IMP-1920-03-19-a-i0002.jpg,0,7,13.691355,0.9845691
21,test_change,data/test/drawing/IMP-1911-01-14-a-i0027.jpg,0,4,11.086945,0.94740796
22,test_change,data/test/drawing/JDG-1971-07-24-a-i0130.jpg,0,0,7.174839,0.4241974
23,test_change,data/test/drawing/EXP-1974-04-25-a-i0418.jpg,0,4,10.480829,0.8814936
24,test_change,data/test/drawing/IMP-1989-08-28-a-i0011.jpg,0,4,10.526468,0.94920844
25,test_change,data/test/drawing/IMP-1958-03-19-a-i0167.jpg,0,0,11.11873,0.98430043
26,test_change,data/test/drawing/GDL-1949-09-03-a-i0216.jpg,0,0,8.081621,0.5613365
27,test_change,data/test/drawing/EXP-1990-11-26-a-i0245.jpg,0,0,9.932389,0.5776181
28,test_change,data/test/drawing/IMP-2000-09-15-a-i0197_3.jpg,0,4,9.378869,0.72360915
29,test_change,data/test/drawing/LCE-1919-05-03-a-i0022.jpg,0,0,8.42636,0.7051352
30,test_change,data/test/drawing/IMP-1976-01-24-a-i0073.jpg,0,5,9.665474,0.54589826
31,test_change,data/test/drawing/LCE-1908-02-29-a-i0040.jpg,0,0,9.620812,0.50314754
32,test_change,data/test/drawing/GDL-1966-04-22-a-i0067.jpg,0,0,15.846893,0.6171039
